"cal_year","cal_month","shortage","sam_0","sam_1","sam_2","sam_3","sam_6","sam_9","sam_12","oni_detrended_0","oni_detrended_1","oni_detrended_2","oni_detrended_3","oni_detrended_6","oni_detrended_9","oni_detrended_12","soi_0","soi_1","soi_2","soi_3","soi_6","soi_9","soi_12","precip_30","precip_61","precip_91","precip_183","precip_273","precip_365","mean_day_tmin_30","mean_day_tmin_61","mean_day_tmin_91","mean_day_tmin_183","mean_day_tmin_273","mean_day_tmin_365","mean_day_tmax_30","mean_day_tmax_61","mean_day_tmax_91","mean_day_tmax_183","mean_day_tmax_273","mean_day_tmax_365","heat_day_30","heat_day_61","heat_day_91","heat_day_183","heat_day_273","heat_day_365"
1996,1,"not_shortage",0.55,NA,NA,NA,NA,NA,NA,-0.86,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,300.844818234444,466.962587516755,645.778331469744,766.093881610781,897.761134183034,1411.08724804409,22.3221436818441,21.7797200520833,22.0300607786074,19.8544201981174,18.063061095856,18.6687092768003,27.6737258911133,27.4378398259481,27.5955475608071,25.4747555790052,23.7019752530388,24.2286490714713,604.321367263794,1183.56544780731,1813.7400894165,3246.25085258484,4343.71450138092,6003.7285118103
1996,10,"not_shortage",2.79,-3.5,-2.46,0.22,-0.28,0.55,NA,-0.4,-0.45,-0.2,-0.32,-0.36,-0.86,NA,0.6,0.6,0.7,0.7,0.8,1,NA,39.1061088237911,73.5522520020604,124.395751772448,715.945009745657,1130.1050510481,1775.88338251784,17.7587962468465,16.3938917477926,14.8242233611725,13.8447633545255,15.4828515629192,17.1457096805311,23.8746426264445,24.0738712628682,23.0600905785194,21.4107434111215,22.9049109015273,24.1006050736937,474.865277767181,915.688044548035,1273.25149536133,2312.80446338654,3864.05170965195,5703.62040758133
1996,11,"not_shortage",-2.36,2.79,-3.5,-2.46,1.9,-1.74,NA,-0.34,-0.4,-0.45,-0.2,-0.26,-0.85,NA,-0.1,0.6,0.6,0.7,0.3,0.3,NA,149.419887527823,188.525996351615,222.972139529884,430.610978195444,1126.38681679219,1746.84424004331,18.9054334322611,18.3321148395538,17.2011806781475,14.3999742132718,15.2941403650975,16.8569829548875,26.644199180603,25.2594209035238,24.8496245289897,22.3205854488852,22.8445036961482,24.0091461442921,542.130872249603,1016.99615001678,1471.11450433731,2457.95886516571,3847.33176898956,5633.0956735611
1996,12,"not_shortage",0.03,-2.36,2.79,-3.5,-1.4,1.31,NA,-0.61,-0.34,-0.4,-0.45,-0.3,-0.56,NA,0.9,-0.1,0.6,0.6,1.2,1.1,NA,168.420893140137,317.204504590482,356.978946110234,496.1963071879,1194.82286205515,1748.82270656899,20.1888003667196,19.669643608729,19.0277518702077,15.646514564264,15.4500388610057,16.7722584815874,26.3610768636068,26.6763240814209,25.6938163841164,23.5218476728012,22.9337004706973,23.9387282541353,546.514710426331,1095.24172258377,1585.17968177795,2679.91328239441,3877.35319423676,5604.51608943939
1996,2,"not_shortage",-1.74,0.55,NA,NA,NA,NA,NA,-0.85,-0.86,NA,NA,NA,NA,NA,0.3,1,NA,NA,NA,NA,NA,147.198184929788,449.079706430435,621.39229176566,869.98640890792,955.860281160101,1251.60394098423,21.0141936620076,21.6157972335815,21.5813844701746,20.8998915667091,18.4935384373088,18.7792087450419,27.7247476577759,27.5901549339294,27.5691097594879,26.4697069574575,24.3631266779079,24.3348395256147,575.253778457642,1175.191822052,1775.59058666229,3422.8838558197,4491.52205514908,6041.64296722412
1996,3,"not_shortage",1.31,-1.74,0.55,NA,NA,NA,NA,-0.56,-0.85,-0.86,NA,NA,NA,NA,1.1,0.3,1,NA,NA,NA,NA,100.756397120655,253.067908518016,554.984190575778,946.98401687853,1023.36365000717,1219.03185181506,18.9961657842,19.9404798189799,20.7500418149508,21.083661908009,19.0771867696182,18.463341344546,25.5148864746094,26.4901722590129,26.9051679254888,26.7743237083727,25.079125449771,24.2052369365953,519.886157035828,1087.13530826569,1711.63103866577,3466.82013225555,4671.40807771683,5962.81277656555
1996,4,"not_shortage",-0.28,1.31,-1.74,0.55,NA,NA,NA,-0.36,-0.56,-0.85,-0.86,NA,NA,NA,0.8,1.1,0.3,1,NA,NA,NA,80.1935426965356,180.94993981719,333.296211771667,980.888151090592,1099.35533282533,1238.10853440128,16.9163606325785,17.9562632083893,19.0024461536617,20.4966232268537,19.550470711984,18.2796771454484,25.3017123540243,25.4082994143168,26.1951075333815,26.8338933121311,25.6789083410969,24.2861670036838,476.915399074554,996.801556110382,1588.60839414597,3408.06621599197,4810.30155992508,5939.89932489395
1996,5,"not_shortage",1.9,-0.28,1.31,-1.74,NA,NA,NA,-0.26,-0.36,-0.56,-0.85,NA,NA,NA,0.3,0.8,1.1,0.3,NA,NA,NA,434.753919078037,595.75893410109,696.602448983118,1323.14282777347,1568.17742037959,1657.61081716791,15.5186471939087,16.1793339888255,17.1304660315042,19.3672097993027,19.6699453186203,18.1617243832105,21.0941627502441,23.0242509524027,23.9145178113665,25.7514999994163,25.6252042889158,24.2599153283524,396.976470470428,868.17339515686,1406.80317401886,3198.94682025909,4808.50523853302,5914.87828874588
1996,6,"not_shortage",-1.4,1.9,-0.28,1.31,NA,NA,NA,-0.3,-0.26,-0.36,-0.56,NA,NA,NA,1.2,0.3,0.8,1.1,NA,NA,NA,102.867620766163,537.6215398442,698.713672628626,1253.6978632044,1639.27276417986,1722.0773226358,13.0175055821737,14.2680763880412,15.1594791517153,17.9788597450882,19.119308531066,18.0844585340317,19.415878645579,20.2550206979116,21.9038558897081,24.4300568429499,25.1622185305361,24.2743739846635,337.301878929138,734.278349399567,1224.21889591217,2956.3043718338,4672.30400085449,5905.32894659042
1996,7,"not_shortage",0.22,-1.4,1.9,-0.28,0.55,NA,NA,-0.32,-0.3,-0.26,-0.36,-0.86,NA,NA,0.7,1.2,0.3,0.8,1,NA,NA,53.927718129009,155.372126605362,591.549257973209,1005.74405983277,1651.4876307454,1771.80318088643,10.116858291626,11.5938951333364,12.8851297818697,15.9437519709269,17.9382386434646,17.8788014111454,18.8581896146139,19.1370247840881,19.7946331946404,22.972484588623,24.4683751955137,24.1932927980815,285.911852359772,621.025853157043,1029.11743736267,2630.75097894669,4419.93338155746,5852.4441447258
